"PolicyName","VersionId","IsDefaultVersion","CreateDate","ServiceWildcard","ServicesAffected","PrivilegeEscalation","ResourceExposure","DataExfiltration","CredentialsExposure","InfrastructureModification","PrivilegeEscalation_CreateAccessKey","PrivilegeEscalation_CreateLoginProfile","PrivilegeEscalation_UpdateLoginProfile","PrivilegeEscalation_CreateNewPolicyVersion","PrivilegeEscalation_SetExistingDefaultPolicyVersion","PrivilegeEscalation_AttachUserPolicy","PrivilegeEscalation_AttachGroupPolicy","PrivilegeEscalation_AttachRolePolicy","PrivilegeEscalation_PutUserPolicy","PrivilegeEscalation_PutGroupPolicy","PrivilegeEscalation_PutRolePolicy","PrivilegeEscalation_AddUserToGroup","PrivilegeEscalation_UpdateRolePolicyToAssumeIt","PrivilegeEscalation_CreateEC2WithExistingIP","PrivilegeEscalation_PassExistingRoleToNewLambdaThenInvoke","PrivilegeEscalation_PassExistingRoleToNewLambdaThenTriggerWithNewDynamo","PrivilegeEscalation_PassExistingRoleToNewLambdaThenTriggerWithExistingDynamo","PrivilegeEscalation_PassExistingRoleToNewGlueDevEndpoint","PrivilegeEscalation_PassExistingRoleToCloudFormation","PrivilegeEscalation_PassExistingRoleToNewDataPipeline","PrivilegeEscalation_UpdateExistingGlueDevEndpoint","PrivilegeEscalation_EditExistingLambdaFunctionWithRole"
"AWSIoTSiteWiseConsoleFullAccess","v1",True,"2019-05-31T21:37:49+00:00",1,3,"",3,0,0,33,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildAdminAccess","v6",False,"2018-11-15T21:21:56+00:00",1,2,"",4,0,0,31,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildAdminAccess","v1",False,"2016-12-01T19:04:44+00:00",1,1,"",4,0,0,25,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildAdminAccess","v8",False,"2019-11-05T22:12:30+00:00",1,3,"",4,0,0,36,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildAdminAccess","v9",False,"2020-02-06T20:26:30+00:00",1,3,"",4,0,0,36,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildAdminAccess","v7",False,"2019-11-05T20:40:27+00:00",1,3,"",4,0,0,36,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildAdminAccess","v12",True,"2020-09-14T16:03:39+00:00",1,3,"",4,0,0,36,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildAdminAccess","v2",False,"2017-10-25T19:39:52+00:00",1,1,"",4,0,0,25,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildAdminAccess","v5",False,"2018-10-03T18:20:00+00:00",1,2,"",4,0,0,31,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildAdminAccess","v4",False,"2018-07-19T18:19:35+00:00",1,1,"",4,0,0,25,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildAdminAccess","v3",False,"2017-11-21T19:07:49+00:00",1,1,"",4,0,0,25,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildAdminAccess","v11",False,"2020-07-21T04:22:37+00:00",1,3,"",4,0,0,36,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildAdminAccess","v10",False,"2020-04-02T17:21:40+00:00",1,3,"",4,0,0,36,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonRedshiftFullAccess","v1",False,"2015-02-06T18:40:50+00:00",1,3,"",7,0,1,59,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonRedshiftFullAccess","v2",False,"2017-09-19T18:27:44+00:00",1,3,"",7,0,1,59,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonRedshiftFullAccess","v4",True,"2020-09-09T19:51:19+00:00",1,4,"",7,1,1,62,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonRedshiftFullAccess","v3",False,"2019-08-06T00:05:05+00:00",1,3,"",7,0,1,59,"","","","","","","","","","","","","","","","","","","","","",""
"AWSStepFunctionsReadOnlyAccess","v1",False,"2017-01-11T21:46:19+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSStepFunctionsReadOnlyAccess","v2",True,"2017-11-10T22:03:49+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonKinesisAnalyticsFullAccess","v1",True,"2016-09-21T19:01:14+00:00",1,2,"",0,0,0,23,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonTextractFullAccess","v1",True,"2018-11-28T19:07:42+00:00",1,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSIoTSiteWiseMonitorPortalAccess","v1",True,"2020-05-19T20:01:21+00:00",0,1,"",3,0,0,11,"","","","","","","","","","","","","","","","","","","","","",""
"EC2FleetTimeShiftableServiceRolePolicy","v1",True,"2019-12-23T19:47:15+00:00",0,2,"",1,0,0,4,"","","","","","","","","","","","","",2,"","","","","","","",""
"AWSIoTAnalyticsReadOnlyAccess","v1",True,"2018-06-18T21:37:49+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSDataSyncFullAccess","v1",False,"2019-01-18T19:40:36+00:00",1,4,"",2,0,0,13,"","","","","","","","","","","","","","","","","","","","","",""
"AWSDataSyncFullAccess","v2",False,"2020-01-24T17:59:16+00:00",1,4,"",2,0,0,13,"","","","","","","","","","","","","","","","","","","","","",""
"AWSDataSyncFullAccess","v3",True,"2020-06-30T17:58:58+00:00",1,4,"",2,0,0,13,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonElasticFileSystemReadOnlyAccess","v1",False,"2015-05-27T16:25:25+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonElasticFileSystemReadOnlyAccess","v2",False,"2017-07-26T16:17:01+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonElasticFileSystemReadOnlyAccess","v5",True,"2020-07-16T16:46:50+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonElasticFileSystemReadOnlyAccess","v4",False,"2020-01-13T16:16:12+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonElasticFileSystemReadOnlyAccess","v3",False,"2017-08-14T10:09:49+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSLambdaRole","v1",True,"2015-02-06T18:41:28+00:00",0,1,"",0,0,0,1,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonKinesisVideoStreamsReadOnlyAccess","v1",True,"2017-12-01T23:14:32+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonSageMakerNotebooksServiceRolePolicy","v1",False,"2019-10-18T20:27:37+00:00",0,2,"",1,0,0,7,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonSageMakerNotebooksServiceRolePolicy","v2",False,"2019-11-14T22:43:23+00:00",0,2,"",1,0,0,11,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonSageMakerNotebooksServiceRolePolicy","v5",True,"2020-08-28T22:39:39+00:00",0,3,"",2,0,0,12,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonSageMakerNotebooksServiceRolePolicy","v4",False,"2020-04-02T21:13:37+00:00",0,3,"",1,0,0,12,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonSageMakerNotebooksServiceRolePolicy","v3",False,"2019-11-26T18:58:12+00:00",0,3,"",1,0,0,12,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonKendraReadOnlyAccess","v1",True,"2019-12-03T16:13:45+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSTrustedAdvisorServiceRolePolicy","v6",False,"2019-06-12T21:21:39+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSTrustedAdvisorServiceRolePolicy","v1",False,"2018-02-22T21:24:25+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSTrustedAdvisorServiceRolePolicy","v8",True,"2020-04-08T16:15:31+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSTrustedAdvisorServiceRolePolicy","v7",False,"2019-11-15T22:11:48+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSTrustedAdvisorServiceRolePolicy","v2",False,"2018-08-21T22:29:41+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSTrustedAdvisorServiceRolePolicy","v5",False,"2019-01-22T19:58:36+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSTrustedAdvisorServiceRolePolicy","v4",False,"2018-12-13T21:54:30+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSTrustedAdvisorServiceRolePolicy","v3",False,"2018-10-08T21:27:22+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"ServerMigrationServiceLaunchRole","v1",False,"2018-11-26T19:53:06+00:00",0,1,"",0,0,0,4,"","","","","","","","","","","","","","","","","","","","","",""
"ServerMigrationServiceLaunchRole","v2",False,"2020-07-20T21:56:41+00:00",0,2,"",1,0,0,5,"","","","","","","","","","","","","",2,"","","","","","","",""
"ServerMigrationServiceLaunchRole","v4",True,"2020-10-15T17:29:00+00:00",0,2,"",1,0,0,5,"","","","","","","","","","","","","",2,"","","","","","","",""
"ServerMigrationServiceLaunchRole","v3",False,"2020-09-30T17:50:15+00:00",0,2,"",1,0,0,5,"","","","","","","","","","","","","",2,"","","","","","","",""
